model,epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
Custom_CNN,14,0.7149122953414917,0.7929819822311401,0.5420083403587341,0.7028985619544983,0.7445175647735596,0.6536458134651184,0.7843967080116272,0.5833459496498108,0.7322834730148315,0.484375,9.000000136438757e-05
Custom_CNN,15,0.7335526347160339,0.8062499165534973,0.5326054096221924,0.7228033542633057,0.7576754093170166,0.6380208134651184,0.7610135078430176,0.6367563605308533,0.7572815418243408,0.40625,2.700000004551839e-05
MobileNetV2_Transfer,1,0.6282894611358643,0.6720751523971558,0.6835366487503052,0.6314606666564941,0.6162280440330505,0.6223958134651184,0.6966689229011536,0.634207546710968,0.6793892979621887,0.4635416567325592,0.0010000000474974513
MobileNetV2_Transfer,2,0.6946271657943726,0.770147442817688,0.5711417198181152,0.6948408484458923,0.6940789222717285,0.6848958134651184,0.7592095136642456,0.5868361592292786,0.7350993156433105,0.578125,0.0010000000474974513
MobileNetV2_Transfer,3,0.7209429740905762,0.8015723824501038,0.5392336249351501,0.719260036945343,0.7247806787490845,0.6510416865348816,0.7455782294273376,0.6041057705879211,0.7013888955116272,0.5260416865348816,0.0003000000142492354
MobileNetV2_Transfer,4,0.7357456088066101,0.8209466934204102,0.5185620784759521,0.7388888597488403,0.7291666865348816,0.65625,0.7529703974723816,0.6442136764526367,0.7727272510528564,0.4427083432674408,0.0003000000142492354
ResNet50_Transfer,1,0.6414473652839661,0.683915376663208,0.7373238801956177,0.6423841118812561,0.6381579041481018,0.6692708134651184,0.8261040449142456,0.553027331829071,0.8037382960319519,0.4479166567325592,0.0010000000474974513
ResNet50_Transfer,2,0.6896929740905762,0.7588386535644531,0.5890240669250488,0.68482905626297,0.702850878238678,0.671875,0.8665771484375,0.6148868203163147,1.0,0.34375,0.0010000000474974513
ResNet50_Transfer,3,0.7143640518188477,0.7927089333534241,0.5491794347763062,0.7064414024353027,0.7335526347160339,0.7526041865348816,0.870347797870636,0.4840007722377777,0.8299319744110107,0.6354166865348816,0.0010000000474974513
ResNet50_Transfer,4,0.7554824352264404,0.8331656455993652,0.5037586688995361,0.75,0.7664473652839661,0.6770833134651184,0.860120952129364,0.6198751330375671,0.9594594836235046,0.3697916567325592,0.0010000000474974513
ResNet50_Transfer,5,0.7543859481811523,0.83836430311203,0.49424809217453003,0.7516269087791443,0.7598684430122375,0.7135416865348816,0.8878580927848816,0.5279894471168518,0.918367326259613,0.46875,0.0010000000474974513
ResNet50_Transfer,6,0.7587719559669495,0.8445838093757629,0.4849337637424469,0.7599118947982788,0.7565789222717285,0.734375,0.895521342754364,0.48688459396362305,0.8947368264198303,0.53125,0.0003000000142492354
ResNet50_Transfer,7,0.78125,0.8574519157409668,0.46893608570098877,0.7725823521614075,0.797149121761322,0.7135416865348816,0.8713921308517456,0.5199970006942749,0.8660714030265808,0.5052083134651184,0.0003000000142492354
MobileNetV2_FineTuned,1,0.7017543911933899,0.7780356407165527,0.5639172196388245,0.7039911150932312,0.6962719559669495,0.7005208134651184,0.7776150107383728,0.5744114518165588,0.7583892345428467,0.5885416865348816,9.999999747378752e-06
MobileNetV2_FineTuned,2,0.719298243522644,0.8043124079704285,0.5362473130226135,0.7217295169830322,0.7138158082962036,0.6692708134651184,0.7656927704811096,0.6021956205368042,0.7876105904579163,0.4635416567325592,9.999999747378752e-06
MobileNetV2_FineTuned,3,0.7450658082962036,0.8345326781272888,0.5024548768997192,0.7601862549781799,0.7160087823867798,0.6848958134651184,0.7894965410232544,0.5575973987579346,0.7382550239562988,0.5729166865348816,2.9999998787388904e-06
MobileNetV2_FineTuned,4,0.7478070259094238,0.8235713243484497,0.5141496062278748,0.7511110901832581,0.7412280440330505,0.6640625,0.7731119394302368,0.5886467695236206,0.7404580116271973,0.5052083134651184,2.9999998787388904e-06
ResNet50_FineTuned,1,0.7620614171028137,0.837026834487915,0.4961351454257965,0.752109706401825,0.781798243522644,0.734375,0.8894585371017456,0.4763585329055786,0.8571428656578064,0.5625,9.999999747378752e-06
ResNet50_FineTuned,2,0.7768640518188477,0.8579869270324707,0.46806538105010986,0.7677624821662903,0.7938596606254578,0.7161458134651184,0.8851453065872192,0.5017338395118713,0.8807339668273926,0.5,9.999999747378752e-06
ResNet50_FineTuned,3,0.7839912176132202,0.8653437495231628,0.4538004398345947,0.7809110879898071,0.7894737124443054,0.7083333134651184,0.8836398720741272,0.5126540660858154,0.8636363744735718,0.4947916567325592,9.999999747378752e-06
ResNet50_FineTuned,4,0.8141447305679321,0.8881873488426208,0.4238148331642151,0.803174614906311,0.8322368264198303,0.7161458134651184,0.875990092754364,0.5394859910011292,0.8738738894462585,0.5052083134651184,2.9999998787388904e-06
ResNet50_FineTuned,5,0.8048245906829834,0.8936409950256348,0.4098344147205353,0.7963752746582031,0.8190789222717285,0.7057291865348816,0.8766546845436096,0.5718563199043274,0.8910890817642212,0.46875,2.9999998787388904e-06
